date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-06-24,COLPAL.NS,HOLD,1964.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,ANURAS.NS,HOLD,1286.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,HEROMOTOCO.NS,HOLD,4892.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,NEWGEN.NS,HOLD,473.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,JKTYRE.NS,HOLD,402.2500,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,BSOFT.NS,HOLD,308.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,PERSISTENT.NS,HOLD,4911.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-25,SIEMENS.NS,HOLD,3633.0000,,,80.70,80.70,-99.9193,,,,
2026-06-25,BAJAJ-AUTO.NS,SELL,9850.0000,9845.0750,1,80.70,80.70,-99.9193,STRATEGY_SIGNAL,9755.7734,,
2026-06-25,HCLTECH.NS,HOLD,1101.0000,,,80.70,80.70,-99.9193,,,,
2026-06-25,COLPAL.NS,HOLD,1990.1000,,,80.70,80.70,-99.9193,,,,
2026-06-25,ANURAS.NS,HOLD,1265.1000,,,80.70,80.70,-99.9193,,,,
2026-06-25,NEWGEN.NS,HOLD,473.5500,,,80.70,80.70,-99.9193,,,,
2026-06-25,JKTYRE.NS,HOLD,397.2500,,,80.70,80.70,-99.9193,,,,
2026-06-25,BSOFT.NS,HOLD,301.7500,,,80.70,80.70,-99.9193,,,,
2026-06-25,PERSISTENT.NS,HOLD,4846.5000,,,80.70,80.70,-99.9193,,,,
2026-06-29,BAJAJ-AUTO.NS,HOLD,9664.0000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,HCLTECH.NS,HOLD,1103.6000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,COLPAL.NS,HOLD,1995.9000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,ANURAS.NS,HOLD,1278.0000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,NEWGEN.NS,HOLD,467.0000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,JKTYRE.NS,HOLD,388.9000,,,243.49,98049.45,-1.9505,,,,
2026-06-29,BSOFT.NS,HOLD,298.6500,,,243.49,98049.45,-1.9505,,,,
2026-06-29,PERSISTENT.NS,HOLD,4292.0000,,,243.49,98049.45,-1.9505,,,,
2026-06-30,BAJAJ-AUTO.NS,HOLD,9707.0000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,HCLTECH.NS,HOLD,1072.0000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,COLPAL.NS,HOLD,2000.5000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,ANURAS.NS,HOLD,1262.4000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,NEWGEN.NS,HOLD,471.7500,,,243.49,97984.83,-2.0152,,,,
2026-06-30,JKTYRE.NS,HOLD,393.2000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,BSOFT.NS,HOLD,286.6000,,,243.49,97984.83,-2.0152,,,,
2026-06-30,PERSISTENT.NS,HOLD,4329.0000,,,243.49,97984.83,-2.0152,,,,
2026-07-01,BAJAJ-AUTO.NS,HOLD,9849.0000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,HCLTECH.NS,HOLD,1035.0000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,COLPAL.NS,HOLD,2072.0000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,ANURAS.NS,HOLD,1267.0000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,NEWGEN.NS,HOLD,472.5000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,JKTYRE.NS,HOLD,396.1000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,BSOFT.NS,HOLD,276.4000,,,243.49,98196.64,-1.8034,,,,
2026-07-01,PERSISTENT.NS,HOLD,4325.0000,,,243.49,98196.64,-1.8034,,,,
2026-07-02,BAJAJ-AUTO.NS,HOLD,9852.0000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,HCLTECH.NS,HOLD,1080.5000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,COLPAL.NS,HOLD,2058.0000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,ANURAS.NS,HOLD,1273.0000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,NEWGEN.NS,HOLD,482.6500,,,243.49,98717.19,-1.2828,,,,
2026-07-02,JKTYRE.NS,HOLD,416.9000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,BSOFT.NS,HOLD,281.9000,,,243.49,98717.19,-1.2828,,,,
2026-07-02,PERSISTENT.NS,HOLD,4587.0000,,,243.49,98717.19,-1.2828,,,,
2026-07-03,BAJAJ-AUTO.NS,HOLD,9784.0000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,HCLTECH.NS,HOLD,1140.0000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,COLPAL.NS,HOLD,2042.3000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,ANURAS.NS,HOLD,1263.0000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,NEWGEN.NS,HOLD,482.0000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,JKTYRE.NS,HOLD,412.0000,,,243.49,99327.49,-0.6725,,,,
2026-07-03,BSOFT.NS,HOLD,282.8500,,,243.49,99327.49,-0.6725,,,,
2026-07-03,PERSISTENT.NS,HOLD,4675.1000,,,243.49,99327.49,-0.6725,,,,
2026-07-06,BAJAJ-AUTO.NS,HOLD,10047.0000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,HCLTECH.NS,HOLD,1135.0000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,COLPAL.NS,HOLD,2082.9000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,ANURAS.NS,HOLD,1269.7000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,NEWGEN.NS,HOLD,481.8000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,JKTYRE.NS,HURST_SKIP,410.0000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,BSOFT.NS,HOLD,281.7000,,,243.49,99848.04,-0.1520,,,,
2026-07-06,PERSISTENT.NS,HOLD,4725.0000,,,243.49,99848.04,-0.1520,,,,
2026-07-07,BAJAJ-AUTO.NS,HOLD,10105.0000,,,243.49,99589.56,-0.4104,,,,
2026-07-07,HCLTECH.NS,HOLD,1170.0000,,,243.49,99589.56,-0.4104,,,,
2026-07-07,COLPAL.NS,HOLD,2076.6000,,,243.49,99589.56,-0.4104,,,,
2026-07-07,ANURAS.NS,HOLD,1270.5000,,,243.49,99589.56,-0.4104,,,,
2026-07-07,NEWGEN.NS,HOLD,480.4500,,,243.49,99589.56,-0.4104,,,,
2026-07-07,BSOFT.NS,HOLD,282.9500,,,243.49,99589.56,-0.4104,,,,
2026-07-07,PERSISTENT.NS,HOLD,4888.0000,,,243.49,99589.56,-0.4104,,,,
2026-07-08,BAJAJ-AUTO.NS,HOLD,10178.5000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,HCLTECH.NS,HOLD,1141.7000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,COLPAL.NS,HOLD,2028.9000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,ANURAS.NS,HOLD,1260.0000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,NEWGEN.NS,HOLD,466.0000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,BSOFT.NS,SKIP_CA,272.1000,,,243.49,97783.79,-2.2162,,,,
2026-07-08,PERSISTENT.NS,HOLD,4761.0000,,,243.49,97783.79,-2.2162,,,,
2026-07-09,BAJAJ-AUTO.NS,HOLD,10174.5000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,HCLTECH.NS,HOLD,1151.0000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,COLPAL.NS,HOLD,2063.9000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,ANURAS.NS,HOLD,1269.8000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,NEWGEN.NS,HOLD,474.0000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,BSOFT.NS,SKIP_CA,275.0000,,,243.49,98214.59,-1.7854,,,,
2026-07-09,PERSISTENT.NS,HOLD,4841.9000,,,243.49,98214.59,-1.7854,,,,
2026-07-10,BAJAJ-AUTO.NS,HOLD,10155.0000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,HCLTECH.NS,HOLD,1168.0000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,COLPAL.NS,HOLD,2051.0000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,ANURAS.NS,HOLD,1267.5000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,NEWGEN.NS,HOLD,515.5000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,BSOFT.NS,SKIP_CA,290.5000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,PERSISTENT.NS,HOLD,5039.9000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,CHOLAHLDNG.NS,HOLD,1645.0000,,,243.49,99072.60,-0.9274,,,,
2026-07-10,COHANCE.NS,HOLD,452.0000,,,243.49,99072.60,-0.9274,,,,
2026-07-13,BAJAJ-AUTO.NS,HOLD,10410.0000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,HCLTECH.NS,HOLD,1224.0000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,COLPAL.NS,HOLD,2026.0000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,ANURAS.NS,HOLD,1256.5000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,BSOFT.NS,HOLD,299.8000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,PERSISTENT.NS,HOLD,5186.9000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,CHOLAHLDNG.NS,HOLD,1649.5000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,COHANCE.NS,HOLD,448.3000,,,243.49,99022.34,-0.9777,,,,
2026-07-13,MAPMYINDIA.NS,HURST_SKIP,1183.0000,,,243.49,99022.34,-0.9777,,,,
2026-07-14,BAJAJ-AUTO.NS,HOLD,10169.0000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,HCLTECH.NS,HOLD,1164.6000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,COLPAL.NS,HOLD,2008.7000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,ANURAS.NS,HOLD,1262.5000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,BSOFT.NS,HOLD,288.6500,,,243.49,98412.04,-1.5880,,,,
2026-07-14,PERSISTENT.NS,HOLD,5125.0000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,CHOLAHLDNG.NS,HOLD,1592.4000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,COHANCE.NS,HURST_SKIP,436.4000,,,243.49,98412.04,-1.5880,,,,
2026-07-14,MAPMYINDIA.NS,HOLD,1182.0000,,,243.49,98412.04,-1.5880,,,,
2026-07-15,BAJAJ-AUTO.NS,HOLD,10311.0000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,HCLTECH.NS,SKIP_CA,1167.0000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,COLPAL.NS,HOLD,2010.1000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,ANURAS.NS,HOLD,1270.0000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,BSOFT.NS,HOLD,285.5000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,PERSISTENT.NS,HOLD,5080.8000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,CHOLAHLDNG.NS,HOLD,1607.9000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,COHANCE.NS,HOLD,433.8000,,,243.49,98501.79,-1.4982,,,,
2026-07-15,MAPMYINDIA.NS,HOLD,1175.0000,,,243.49,98501.79,-1.4982,,,,
2026-07-16,BAJAJ-AUTO.NS,HOLD,10311.0000,,,243.49,98674.11,-1.3259,,,,
